from,to,line,7_in,7_out,8_in,8_out
충정로(경기대입구)(경기대입구),서대문,5,18791,55490,25924,167868
서대문,광화문(세종문화회관),5,10960,85174,17359,315457
광화문(세종문화회관),종로3가,5,13691,61437,22056,185606
종로3가,을지로4가,5,5436,46317,9867,128496
을지로4가,동대문역사문화공원,5,20577,69764,33631,190741
동대문역사문화공원,청구,5,15792,11494,25658,44659
청구,신금호,5,24389,11043,34136,13779
신금호,행당,5,37202,5733,53751,10473
행당,왕십리(성동구청),5,68648,34454,117540,83485
왕십리(성동구청),마장,5,17744,8674,24007,19601
마장,답십리,5,61454,13909,86807,41227
답십리,장한평,5,54046,23724,74609,73074
장한평,군자(능동),5,76132,18859,117770,53408
군자(능동),아차산(어린이대공원후문),5,49116,14440,71097,30195
아차산(어린이대공원후문),광나루(장신대),5,45265,17167,56704,41066
광나루(장신대),천호(풍납토성),5,84337,41961,114058,74516
천호(풍납토성),강동,5,72522,28861,90610,44170
강동,길동,5,25964,6285,30901,16330
길동,굽은다리(강동구민회관앞),5,42402,7015,45081,14756
굽은다리(강동구민회관앞),명일,5,42908,6139,39368,14178
명일,고덕,5,38302,16426,33262,18748
고덕,상일동,5,86544,14782,66283,19845
강동,둔촌동,5,28176,11157,32142,23031
둔촌동,올림픽공원(한국체대),5,28256,14273,31423,31776
올림픽공원(한국체대),방이,5,22020,9791,21348,25893
방이,오금,5,41999,15694,47885,38264
오금,개롱,5,32394,8673,27068,18278
개롱,거여,5,39060,7876,34670,17795
거여,마천,5,26589,4558,24521,10757
응암,역촌,6,18261,3419,19477,9401
역촌,불광,6,74941,17205,88384,48051
불광,독바위,6,15172,2106,15388,3220
독바위,연신내,6,159009,30284,190114,41996
연신내,구산,6,32558,9127,40093,7952
구산,응암,6,79257,11199,100320,19558
응암,새절(신사),6,61353,10967,74529,20117
새절(신사),증산(명지대앞),6,45439,6576,55708,13438
증산(명지대앞),디지털미디어시티,6,76169,58443,85285,178752
디지털미디어시티,월드컵경기장(성산),6,10261,8065,12598,18891
월드컵경기장(성산),마포구청,6,45043,16145,61584,40955
마포구청,망원,6,31204,9127,45557,34258
망원,합정,6,65921,56643,90669,157391
합정,상수,6,11091,7952,16828,32217
상수,광흥창(서강),6,20925,19032,28678,42694
광흥창(서강),대흥(서강대앞),6,16356,15848,23986,44201
대흥(서강대앞),공덕,6,57816,76236,83563,240009
공덕,효창공원앞,6,22786,13163,36831,44284
효창공원앞,삼각지,6,14299,24755,22103,56992
삼각지,녹사평(용산구청),6,5954,9624,10694,17730
녹사평(용산구청),이태원,6,16766,11933,21272,34358
이태원,한강진,6,4207,19582,5904,39530
한강진,버티고개,6,5882,2874,9483,6162
버티고개,약수,6,36263,23286,56009,58257
약수,청구,6,15792,11494,25658,44659
청구,신당,6,40330,35439,64907,91806
신당,동묘앞,6,18281,23634,25505,61866
동묘앞,창신,6,16597,6384,20818,8832
창신,보문,6,24705,12400,40553,27137
보문,안암(고대병원앞),6,9740,17960,14849,61867
안암(고대병원앞),고려대(종암),6,23476,12340,32585,37130
고려대(종암),월곡(동덕여대),6,46856,8765,53347,33173
월곡(동덕여대),상월곡(한국과학기술연구원),6,27103,4346,30966,18998
상월곡(한국과학기술연구원),돌곶이,6,34642,7118,41319,19373
돌곶이,석계,6,87450,17214,101957,33185
석계,태릉입구,6,43639,16548,54519,39377
태릉입구,화랑대(서울여대입구),6,71077,9277,69127,20543
화랑대(서울여대입구),봉화산(서울의료원),6,58923,7398,53484,13564
봉화산(서울의료원),신내,6,2825,3840,2845,3329
장암,도봉산,7,88069,12666,70511,29010
도봉산,수락산,7,58637,9594,55498,19790
수락산,마들,7,67488,8866,63350,11572
마들,노원,7,106731,39199,114610,83176
노원,중계,7,72417,19309,74437,35071
중계,하계,7,80027,20314,84496,32430
하계,공릉(서울과학기술대),7,42738,13799,48761,33645
공릉(서울과학기술대),태릉입구,7,43639,16548,54519,39377
태릉입구,먹골,7,43026,6101,51184,16262
먹골,중화,7,43304,10173,56392,25266
중화,상봉(시외버스터미널),7,83255,21238,104293,48584
상봉(시외버스터미널),면목,7,65102,10860,84103,36049
면목,사가정,7,56109,13660,72782,29915
사가정,용마산,7,27962,4779,34503,11013
용마산,중곡,7,36836,12395,52322,22616
중곡,군자(능동),7,76132,18859,117770,53408
