호선명,지하철역,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원
4호선,혜화,20036,53777,28688,142687,132229,94352,154400,113052,96869,86733,93170,32019
4호선,회현(남대문시장),7436,57963,12179,178130,143572,35245,148332,28500,70502,17358,67793,10452
5호선,강동,72522,28861,90610,44170,47331,42758,50742,60866,29029,52459,19791,33753
5호선,개롱,32394,8673,27068,18278,14146,17520,15638,25362,7544,23552,5691,14384
5호선,개화산,24389,7230,22182,19161,13113,12133,17222,17071,7784,16900,4903,10361
5호선,거여,39060,7876,34670,17795,16166,18522,15621,24836,7214,26069,5375,14857
5호선,고덕,38302,16426,33262,18748,21237,23265,17135,31799,9471,34394,7726,18078
5호선,공덕,21041,30392,34250,96955,41570,29506,75791,50720,29512,29067,22292,15876
5호선,광나루(장신대),45265,17167,56704,41066,33313,30498,38797,44562,19356,35401,14594,22071
5호선,광화문(세종문화회관),10960,85174,17359,315457,143321,55376,262842,67445,113891,36785,83849,16084
5호선,군자(능동),37286,8927,54359,24552,21042,32808,25603,53334,17122,41859,12990,23427
5호선,굽은다리(강동구민회관앞),42402,7015,45081,14756,15787,23097,17133,35980,9584,35298,8062,18754
5호선,길동,25964,6285,30901,16330,14947,18825,16418,29128,8757,27592,7173,14099
5호선,김포공항,6856,17372,9259,21607,24434,20734,33417,20440,21894,12615,17502,6087
5호선,까치산,148476,13453,175569,24335,38616,77186,38649,128273,24532,120045,18778,74886
5호선,답십리,61454,13909,86807,41227,28812,36484,39004,59934,22097,48477,13919,28552
5호선,동대문역사문화공원,1126,9412,2230,34893,10359,3490,22266,3816,9588,2644,4747,1909
5호선,둔촌동,28176,11157,32142,23031,20044,24681,23102,33306,13208,26318,9314,15479
5호선,마곡,25603,9400,25513,27758,20366,11740,22903,18122,10092,16661,6754,9472
5호선,마장,17744,8674,24007,19601,13928,13754,15026,20277,9364,15360,7362,9137
5호선,마천,26589,4558,24521,10757,10339,15263,9651,17301,4128,18327,2947,10810
5호선,마포,27946,22360,42150,77382,34181,29894,66269,52738,27093,34377,24354,18430
5호선,명일,42908,6139,39368,14178,14972,24521,13134,37491,7160,37777,5613,18559
5호선,목동,70013,18803,88225,33828,32496,54554,38311,92678,20707,74232,16690,42292
5호선,발산,32178,31455,32941,101815,65872,35681,82353,53184,42657,43840,32970,22656
5호선,방이,22020,9791,21348,25893,15634,19772,22397,24319,12167,22182,9670,11377
5호선,방화,34050,6292,29762,18597,13289,15584,13264,23313,6327,23494,4527,16139
5호선,상일동,86544,14782,66283,19845,35387,28418,24075,39101,9972,48895,6254,26607
5호선,서대문,18791,55490,25924,167868,65516,24404,125266,32197,39174,20693,27989,13240
5호선,송정,26598,9229,27953,16933,17539,17622,19024,23349,11143,21706,8259,14655
5호선,신금호,24389,11043,34136,13779,11029,17253,11444,28172,7981,20737,5793,12885
5호선,신길,10981,5392,18302,17509,7185,9187,14043,15104,5317,9954,3383,7051
5호선,신정(은행정),69188,9817,87708,15165,16676,26242,18683,43138,9922,36617,6730,23848
5호선,아차산(어린이대공원후문),49116,14440,71097,30195,32264,39034,32749,55980,20125,46678,13805,28015
5호선,애오개,21067,10109,30371,33139,15196,15378,26262,24741,9783,17198,7335,10722
5호선,양평,23836,8512,29088,38152,13845,11817,31874,22111,10872,16786,6272,10618
5호선,여의나루,5900,30764,10379,64865,53859,55860,75420,55933,51979,42623,49853,20760
5호선,여의도,10762,129688,15959,234280,111298,35205,186992,50093,70070,24682,55252,12775
5호선,영등포구청,8226,5282,11528,21426,8750,6699,17749,11522,7746,7091,4454,4116
5호선,영등포시장,19239,13879,28490,40177,31469,19286,41672,29552,19522,19536,14094,11824
5호선,오금,11438,9691,10909,21742,9071,6898,15409,9309,5495,8384,3881,4821
5호선,오목교(목동운동장앞),56714,26363,68644,82982,55844,63574,85071,93621,46902,67940,46620,37705
5호선,올림픽공원(한국체대),13587,8510,14666,14509,14594,10537,13240,12044,7635,10678,6063,6326
5호선,왕십리(성동구청),6965,6109,10654,21468,11936,13648,16557,20220,10320,13746,9213,7610
5호선,우장산,66189,21085,70062,28981,27302,37087,24144,58261,14008,54292,10460,31983
5호선,을지로4가,1465,15616,2333,45773,22064,6919,38437,6577,19572,3827,10503,2052
5호선,장한평,54046,23724,74609,73074,42650,38351,69225,62030,36214,51583,17995,30563
5호선,종로3가,4303,15972,6467,48602,55967,32372,73902,37765,48240,22675,38378,11739
5호선,천호(풍납토성),32359,21702,40761,40049,51825,53854,61200,70452,43225,57120,39969,31515
5호선,청구,7552,4534,14128,17117,9064,8538,14788,12077,9732,9795,5829,5952
5호선,충정로(경기대입구),5712,6693,8358,36915,13904,6482,30211,9813,9785,6475,6413,4151
5호선,행당,37202,5733,53751,10473,11616,20818,11876,34457,7183,26323,5712,16323
5호선,화곡,131990,15573,169927,33141,43198,73958,46089,126503,28298,114275,20347,68592
6호선,고려대(종암),23476,12340,32585,37130,28357,18915,29347,28116,15471,24237,12865,14403
6호선,공덕,25059,34784,36344,111352,53226,34297,96195,48731,41599,35011,31702,20317
6호선,광흥창(서강),20925,19032,28678,42694,22863,18381,35084,25418,16911,19508,12106,12525
6호선,구산,32558,9127,40093,7952,12465,15616,11328,22256,6952,21388,5570,11990
6호선,녹사평(용산구청),5954,9624,10694,17730,18728,17513,22947,22565,15814,17747,14207,10107
6호선,대흥(서강대앞),16356,15848,23986,44201,25389,18711,32742,26986,16822,19814,13396,11344
6호선,독바위,15172,2106,15388,3220,4109,7752,3345,11529,2063,11309,1186,6983
6호선,돌곶이,34642,7118,41319,19373,16447,20954,17154,29769,12329,27364,7349,16498
6호선,동묘앞,10913,11126,14887,31531,30427,18317,32700,18849,18292,14862,11786,10381
6호선,디지털미디어시티,47356,30860,54049,81324,35164,29587,59180,45102,27376,37787,13938,22916
6호선,마포구청,45043,16145,61584,40955,31417,30864,46058,43193,25843,36083,16508,24903
6호선,망원,31204,9127,45557,34258,30982,40408,42941,54273,28927,43373,22573,23920
6호선,버티고개,5882,2874,9483,6162,5184,5454,7005,7259,4075,6468,2768,4365
6호선,보문,22259,9259,36107,21444,15411,15175,19775,23445,10933,20016,8016,12940
6호선,봉화산(서울의료원),58923,7398,53484,13564,15677,22498,14380,35566,7641,36564,5586,22383
6호선,불광,12418,4735,14083,9271,13299,12712,13658,18794,8472,15382,6619,8563
6호선,삼각지,7998,13585,12427,27329,23952,10804,30432,13731,14412,9950,10967,7108
6호선,상수,11091,7952,16828,32217,27870,29017,36389,39597,25571,32000,23083,17848
6호선,상월곡(한국과학기술연구원),27103,4346,30966,18998,12701,13441,13203,21153,8240,19628,4546,11603
6호선,새절(신사),61353,10967,74529,20117,24262,37374,21010,55648,13024,47150,9831,31514
6호선,석계,56318,9333,64600,18482,21588,37719,20381,53779,14657,54023,10623,32750
6호선,신당,9264,16727,13609,48033,22608,13924,29168,17533,17987,25367,14918,14260
6호선,안암(고대병원앞),9740,17960,14849,61867,50456,21687,47981,29809,29068,22778,25007,15230
6호선,약수,5476,5830,9281,19444,9594,7941,13786,10500,8494,7292,6233,4627
6호선,역촌,18261,3419,19477,9401,6915,12496,6979,18251,4049,16707,2785,9708
6호선,연신내,0,0,1,0,0,0,6,0,0,0,2,0
6호선,월곡(동덕여대),46856,8765,53347,33173,25609,29346,31137,44461,17719,38878,13512,22914
6호선,월드컵경기장(성산),10261,8065,12598,18891,54391,23535,54580,19707,32591,13902,16239,7591
6호선,응암,79257,11199,100320,19558,27602,47978,26269,76669,16276,73242,12079,42046
6호선,이태원,16766,11933,21272,34358,42064,53819,49811,73965,41872,71751,40895,50145
6호선,증산(명지대앞),45439,6576,55708,13438,16121,28174,16963,42249,10135,38139,7529,24322
6호선,창신,16597,6384,20818,8832,5678,6686,5931,9495,3943,8837,3511,5775
6호선,청구,8240,6960,11530,27542,8095,7858,14032,9733,9961,7129,6126,4830
6호선,태릉입구,20086,5743,25217,12742,10394,16327,11023,25112,7591,22852,5766,13711
6호선,한강진,4207,19582,5904,39530,33618,20868,37242,25804,26427,15882,20844,6340
6호선,합정,17464,17619,27597,48781,37056,35418,54821,51720,37145,36629,31691,19718
6호선,화랑대(서울여대입구),71077,9277,69127,20543,24866,23212,21522,42591,11143,38323,8980,23129
6호선,효창공원앞,17525,8343,29119,26790,17005,14371,25528,20756,12774,15376,7710,9658
7호선,가산디지털단지,22271,100697,25309,412238,158480,37277,337756,41781,150502,31212,82826,17007
7호선,강남구청,8051,31831,11501,115909,42217,21950,90398,23401,55273,16739,36210,10343
7호선,건대입구,14222,21419,24013,47825,46959,37448,47052,56347,35489,41498,38244,21510
7호선,고속터미널,12121,41682,23542,66576,65143,35590,71708,38674,55461,26054,55499,14272
7호선,공릉(서울과학기술대),42738,13799,48761,33645,28225,29317,30474,43729,17844,43358,14747,26021
7호선,광명사거리,101188,18293,126107,31110,43999,66955,42249,106239,29108,90041,21653,51519
7호선,군자(능동),38846,9932,63411,28856,28535,27026,37904,41652,24669,37288,18750,22380
7호선,굴포천,42105,5657,42605,12507,14851,25091,16473,41760,9613,41387,7251,25182
7호선,까치울,35020,5831,44152,11427,13086,19737,13303,31276,8116,27807,5953,17958
7호선,남구로,34718,27374,41695,109859,35996,44631,84728,41877,39926,29048,22197,19472
7호선,남성,43291,7520,65748,18139,17999,28284,20003,44074,12229,36708,10138,23029
7호선,내방,19595,23485,32709,87813,37000,26749,75320,35030,30253,25889,22105,15631
7호선,노원,42255,21345,43730,47910,47445,53315,52639,70222,34690,62473,34446,33422
