from,to,line,7_in,7_out,8_in,8_out,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
매탄권선,수원시청,분당선,24942,14082,24268,41478,25300,24976,37006,38979,17784,28148,15030,16089
수원시청,매교,분당선,7646,3579,8697,8112,6334,5822,5485,8258,2483,5098,1630,3515
매교,수원,분당선,85057,50018,75881,70564,83727,85646,98192,119614,71736,91047,76305,49866
수원,고색,분당선,11194,11663,9231,17582,9673,5583,16103,7628,5039,8470,4364,5575
고색,오목천,분당선,7203,3003,7216,5137,5020,3675,5539,8456,2310,5354,1558,2741
오목천,어천,분당선,1228,1847,1215,1638,1637,1155,2790,2132,1140,1350,705,813
어천,야목,분당선,765,548,680,498,616,391,669,613,232,467,202,234
야목,사리,분당선,18406,2086,14473,3754,4729,6711,4604,16043,2994,11811,1795,6991
사리,한대앞,분당선,29411,7423,23020,14060,13781,17078,14876,27719,7997,24023,6395,14032
한대앞,중앙,분당선,52765,12381,38951,30894,28967,33212,33108,56811,19983,49429,20294,25834
중앙,고잔,분당선,28055,12774,19344,25611,17318,12680,21345,21515,7930,17857,6240,10954
고잔,초지,분당선,18176,8424,13175,9888,6671,7258,9173,13319,4565,12419,2695,8004
초지,안산,분당선,18507,40269,18564,31632,38119,19061,43537,21818,20480,17909,18849,13405
안산,신길온천,분당선,6068,3237,4739,2914,3156,3060,3686,4708,1719,3978,1197,2679
신길온천,정왕,분당선,16833,25545,13343,24325,18098,12851,25189,17519,11607,13796,8685,11230
정왕,오이도,분당선,28693,12711,21309,13477,16586,15741,16909,24021,10004,20940,8311,13266
오이도,달월,수인선,103,142,126,332,272,56,756,117,151,49,59,40
달월,월곶,수인선,9341,2256,7510,3053,3488,5348,3849,8194,2588,5429,1960,3522
월곶,소래포구,수인선,14252,3348,10987,6905,9166,8686,8251,12295,5139,8515,3844,5571
소래포구,인천논현,수인선,13287,8516,11834,13122,11515,11063,12160,16497,7047,10326,6353,6515
인천논현,호구포,수인선,6527,18070,7051,20795,13151,4933,15538,7165,4881,5840,5584,3960
호구포,남동인더스파크,수인선,1218,15439,1790,20509,11859,1592,12332,1626,4398,1990,4036,1210
남동인더스파크,원인재,수인선,12690,4839,13517,6773,6356,9797,6616,14514,4262,10594,3479,7154
원인재,연수,수인선,13835,4098,11138,9595,6918,9647,8015,13601,4604,8627,3960,6288
연수,송도,수인선,8903,2032,8217,3298,3279,5313,3313,7965,2107,4965,1348,3088
송도,인하대,수인선,21293,3947,15918,9262,8850,12840,8259,20593,4844,10861,3958,8024
인하대,숭의,수인선,12169,7622,9568,10948,8992,7089,8462,9713,3490,6000,2159,4235
숭의,신포,수인선,2873,3360,2620,7468,4037,2790,6332,3721,2342,2078,1924,1277
신포,인천,수인선,7528,8195,6358,11597,14692,6844,13067,7141,6299,5415,5475,3684
강남,양재(서초구청),신분당선,31044,99520,40861,223213,110946,45657,189925,62304,79363,43515,49967,24428
양재(서초구청),양재시민의숲,신분당선,0,0,0,0,0,0,0,0,0,0,0,0
양재시민의숲,청계산입구,신분당선,0,0,0,0,0,0,0,0,0,0,0,0
청계산입구,판교,신분당선,4220,10633,2797,23135,12259,5017,19268,4280,13510,3450,10836,1523
판교,정자,신분당선,24207,33436,27690,66334,45195,27675,53425,41554,28104,31644,20353,17080
정자,미금,신분당선,22982,20226,28782,40471,32675,27334,35987,37544,18009,29003,14552,18584
미금,동천,신분당선,0,0,0,0,0,0,0,0,0,0,0,0
동천,수지구청,신분당선,0,0,0,0,0,0,0,0,0,0,0,0
수지구청,성복,신분당선,0,0,0,0,0,0,0,0,0,0,0,0
성복,상현,신분당선,0,0,0,0,0,0,0,0,0,0,0,0
상현,광교중앙,신분당선,0,0,0,0,0,0,0,0,0,0,0,0
광교중앙,광교,신분당선,0,0,0,0,0,0,0,0,0,0,0,0
계양,귤현,인천1,0,0,0,0,0,0,0,0,0,0,0,0
귤현,박촌,인천1,0,0,0,0,0,0,0,0,0,0,0,0
박촌,임학,인천1,0,0,0,0,0,0,0,0,0,0,0,0
임학,계산,인천1,0,0,0,0,0,0,0,0,0,0,0,0
계산,경인교대입구,인천1,0,0,0,0,0,0,0,0,0,0,0,0
경인교대입구,작전,인천1,0,0,0,0,0,0,0,0,0,0,0,0
작전,갈산,인천1,0,0,0,0,0,0,0,0,0,0,0,0
갈산,부평구청,인천1,33430,6048,28019,10596,10360,11067,10584,23819,5441,23415,4209,14522
부평구청,부평시장,인천1,0,0,0,0,0,0,0,0,0,0,0,0
부평시장,부평,인천1,75907,18505,71263,33067,53269,72393,52192,107395,38483,85601,36506,42889
부평,동수,인천1,0,0,0,0,0,0,0,0,0,0,0,0
동수,부평삼거리,인천1,0,0,0,0,0,0,0,0,0,0,0,0
부평삼거리,간석오거리,인천1,0,0,0,0,0,0,0,0,0,0,0,0
간석오거리,인천시청,인천1,0,0,0,0,0,0,0,0,0,0,0,0
인천시청,예술회관,인천1,0,0,0,0,0,0,0,0,0,0,0,0
예술회관,인천터미널,인천1,0,0,0,0,0,0,0,0,0,0,0,0
인천터미널,문학경기장,인천1,0,0,0,0,0,0,0,0,0,0,0,0
문학경기장,선학,인천1,0,0,0,0,0,0,0,0,0,0,0,0
선학,신연수,인천1,0,0,0,0,0,0,0,0,0,0,0,0
신연수,원인재,인천1,12690,4839,13517,6773,6356,9797,6616,14514,4262,10594,3479,7154
원인재,동춘,인천1,0,0,0,0,0,0,0,0,0,0,0,0
동춘,동막,인천1,0,0,0,0,0,0,0,0,0,0,0,0
동막,캠퍼스타운,인천1,0,0,0,0,0,0,0,0,0,0,0,0
캠퍼스타운,테크노파크,인천1,0,0,0,0,0,0,0,0,0,0,0,0
테크노파크,지식정보단지,인천1,0,0,0,0,0,0,0,0,0,0,0,0
지식정보단지,인천대입구,인천1,0,0,0,0,0,0,0,0,0,0,0,0
