from,to,line,am7,am8,pm5,pm6,pm7,pm8
온수(성공회대입구),까치울,7,22489,25080,-7045,-19885,-17574,-7984
까치울,부천종합운동장,7,8704,5446,440,-3541,-6220,-2910
부천종합운동장,춘의,7,-5467,-24975,12583,19100,-2800,-955
춘의,신중동,7,22840,-2754,773,384,-19473,-932
신중동,부천시청,7,23937,12117,-221,-16245,-20305,-1183
부천시청,상동,7,22546,4966,-2084,-14177,-14996,-2105
상동,삼산체육관,7,18931,14503,-3786,-13739,-11941,-7338
삼산체육관,굴포천,7,26692,20626,-8604,-22141,-22358,-11679
굴포천,부평구청,7,24907,15378,-2042,-10152,-17852,-9126
부평구청,산곡,7,0,0,0,0,0,0
산곡,석남,7,0,0,0,0,0,0
암사,천호(풍납토성),8,28011,20347,-6538,-34345,-24437,7219
천호(풍납토성),강동구청,8,13275,3330,-4330,-6954,-13359,-7153
강동구청,몽촌토성(평화의문),8,2061,-6639,4223,4128,-1851,53
몽촌토성(평화의문),잠실(송파구청),8,19724,-47146,22942,7247,1774,60203
잠실(송파구청),석촌,8,19715,13392,-5957,-14600,-17409,-5175
석촌,송파,8,10934,9232,-3441,-10909,-11151,-4191
송파,가락시장,8,1324,-28284,9296,16010,-5086,-1278
가락시장,문정,8,-28465,-121600,46325,83266,18209,12132
문정,장지,8,13369,2158,7729,-5035,-8027,2190
장지,복정,8,15762,16451,571,-7156,-9106,-5345
복정,산성,8,16253,16085,-4952,-14547,-14001,-7760
산성,남한산성입구(성남법원.검찰청),8,32592,35663,-6547,-21638,-23709,-13533
남한산성입구(성남법원.검찰청),단대오거리,8,21013,19169,-4005,-12832,-17733,-10928
단대오거리,신흥,8,7980,7059,-3154,-8063,-7592,-3324
신흥,수진,8,10355,11236,-1386,-7249,-7316,-3792
수진,모란,8,29946,29441,-6655,-17707,-20349,-13635
개화,김포공항,9,-34830,-29649,4001,25066,20493,35612
김포공항,공항시장,9,6071,5400,-2366,-6164,-6284,-3699
공항시장,신방화,9,19244,13521,-4858,-14483,-13493,-7018
신방화,마곡나루,9,0,0,0,0,0,0
마곡나루,양천향교,9,15800,-4163,1011,672,-13161,-8045
양천향교,가양,9,38985,24394,-4578,-21577,-33458,-16610
가양,중미,9,0,0,0,0,0,0
중미,등촌,9,28099,25557,-10373,-22819,-23036,-11151
등촌,염창,9,53550,50225,-17876,-43112,-43022,-23846
염창,신목동,9,11756,9758,-1952,-7708,-7805,-3496
신목동,선유도,9,4408,-13260,8377,13553,-2334,-824
선유도,당산,9,41577,-3095,-12034,-30082,-38040,-18540
당산,국회의사당,9,-31337,-112538,46623,84001,24320,14346
국회의사당,여의도,9,-197340,-283979,172897,226309,84285,66932
여의도,샛강,9,-9094,-25451,8917,17804,4705,3380
샛강,노량진,9,11254,21528,-6497,-30984,-28235,-6957
노량진,노들,9,11260,13873,-3677,-10301,-7329,-3759
노들,흑석(중앙대입구),9,3438,3419,2227,-9181,-7850,-3801
흑석(중앙대입구),동작(현충원),9,2853,1557,1389,-557,-2095,-154
동작(현충원),구반포,9,121,-1958,1349,961,-379,530
구반포,신반포,9,-1187,-2481,4202,119,-461,128
