사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201911,9호선,노들,4,0,3743,270,5711,1285,17905,3029,21431,4614,12561,4673,9436,4552,7885,4075,8139,4720,8697,5393,6924,6050,6794,7288,7145,8864,7562,10399,7576,15766,4172,13423,3218,8666,3575,8010,2541,7731,1101,5024,217,1565,2,56,0,0,0,0,20191203
201911,9호선,노량진,218,0,17164,2489,23722,21559,63640,50438,101370,80500,58349,49237,37072,35206,36317,35962,42691,44054,49047,47664,43935,41639,45523,44186,49933,54337,60968,76510,76152,118657,44234,83772,44082,49369,52354,47392,65265,46213,23647,30559,2463,9047,0,256,0,0,0,0,20191203
201911,9호선,당산,30,0,7913,1735,17818,6913,50299,16101,64756,44628,39593,25970,29015,18071,29132,19493,31423,21148,30211,23549,27605,24332,27873,27538,30571,31707,39445,44063,51460,66380,29211,54654,21625,36256,21348,34947,18913,34989,9560,23123,1752,6965,1,297,0,0,0,0,20191203
201911,9호선,동작(현충원),4,0,1182,296,1574,1378,5264,1860,7848,3376,4623,3344,3100,3098,3804,2365,4321,2602,3664,3125,3825,3065,4293,2978,5530,2640,5210,3165,4241,4719,2294,3480,1769,2252,1480,2326,1247,2508,591,1566,135,1322,5,341,0,0,0,0,20191203
201911,9호선,등촌,12,0,5417,988,13046,5459,37632,7534,45933,18667,24355,12866,18413,10228,17482,9950,18226,12747,17556,14388,15767,16013,15968,18942,18623,20122,19346,26375,19603,38983,9630,37501,7463,19839,6343,20084,5236,17035,2707,10884,478,3397,1,3,0,0,0,0,20191203
201911,9호선,마곡나루,5,0,4135,704,9014,7051,27949,11639,31759,32410,16571,18873,11794,10851,12076,9918,13654,10967,14197,11798,13761,12695,15391,13064,17969,14788,25789,20666,33654,32498,16883,31179,14187,18034,13773,17919,11169,17498,6316,11873,978,4409,1,166,0,0,0,0,20191203
201911,9호선,사평,13,0,723,185,2996,2268,10329,4575,12523,7020,8061,3651,5613,3049,5283,2612,5441,4629,5368,5539,4606,5139,5769,6291,7613,6535,7897,8354,8313,11619,4636,8713,2928,5660,2253,5463,1876,5146,724,2922,168,1052,0,20,0,0,0,0,20191203
201911,9호선,샛강,11,0,1247,951,2275,4295,4495,12759,6159,26118,5369,13179,5018,8648,6327,8107,6972,7503,7747,8256,8647,7999,10326,7758,11201,8167,18342,10179,28330,14024,10966,9764,9694,4858,8348,4213,6493,3908,3192,2401,744,964,1,62,0,0,0,0,20191203
201911,9호선,선유도,1,0,2234,1321,5013,4426,18449,10271,21390,36485,11223,14435,8351,7728,8613,6811,9661,6875,9094,8162,8567,7885,9396,8221,12201,10900,19039,11986,34446,18758,12741,15695,7596,9382,6568,8127,4922,8313,2137,5541,465,1756,0,124,0,0,0,0,20191203
201911,9호선,신논현,23,0,6105,2041,14983,16964,33711,45619,49287,107410,37417,108790,30439,59913,35024,50918,42459,49824,49001,55323,50911,54601,57683,53686,67488,55408,90322,78486,124925,119775,87927,89439,69897,42327,79655,34337,79717,28829,40935,19421,7641,4934,8,323,0,0,0,0,20191203
201911,9호선,신목동,1,0,2050,346,6052,2051,19049,3152,20094,5634,10198,3626,7264,2595,6410,2894,7003,3856,5608,5946,4968,4798,5075,5205,6347,7057,7711,8482,6338,14325,3249,12095,2501,8090,2170,7279,2034,7694,825,5257,220,1688,3,127,0,0,0,0,20191203
201911,9호선,신반포,2,1,504,263,1802,2778,5787,7039,9195,9187,6739,6699,4993,5079,4619,4058,5583,4023,5961,5344,5095,5223,6665,5478,7914,6203,8926,6883,9414,8447,5517,7049,3887,4123,3422,3596,2448,3681,894,2385,197,838,1,24,0,0,0,0,20191203
201911,9호선,신방화,5,0,4722,624,12235,2603,29255,5589,30918,11856,17424,7006,12953,5972,11172,6536,11921,7934,11891,8640,9977,9207,10126,11937,11993,13720,10647,16297,10857,25086,6289,24301,5049,14846,4373,13048,3596,13225,1520,9275,263,3443,0,35,0,0,0,0,20191203
201911,9호선,양천향교,4,0,4922,1049,9256,7358,28267,10656,30964,34904,17812,15061,12767,8893,13174,8284,14266,9444,13425,10024,12986,11452,13445,11882,16633,12968,20702,17808,29295,25825,12039,26893,7944,16514,7507,17023,5060,16196,2334,11478,495,3752,1,116,0,0,0,0,20191203
201911,9호선,여의도,16,1,2456,2254,4386,25304,9647,116092,13483,168431,13927,68388,17025,28768,21953,27230,22720,25794,28574,30103,29557,25119,34951,23735,47135,26152,116495,28100,148185,30401,65074,21284,47169,11806,42907,9562,28386,9707,10061,5903,1447,2389,0,302,0,0,0,0,20191203
201911,9호선,염창,22,0,11712,657,26581,4578,79941,8611,95150,23551,50502,12844,31670,11412,27235,11494,27542,15180,25627,17119,20296,18778,19659,24213,21061,29418,24703,42390,28543,69910,15048,67020,11325,42289,9955,38859,8068,38716,4082,27408,760,9316,2,1022,1,1,0,0,20191203
201911,9호선,증미,0,0,2497,761,7132,3099,20282,6593,21411,32644,11997,11925,9926,7217,9609,7583,9881,7861,10223,8350,9329,9937,10465,11247,11054,12066,14517,13148,30640,20418,9540,18569,6382,10399,5604,9088,4235,8562,1698,6391,183,1974,0,4,0,0,0,0,20191203
201911,9호선,흑석(중앙대입구),9,1,3703,965,6152,4973,17741,12314,25105,33233,17826,24569,14729,22220,15295,17470,23643,20248,20165,17056,18221,16691,22770,16979,31480,18043,32585,23256,28068,34075,16384,26056,14140,16463,14613,14358,12732,15000,7381,11617,1669,3620,1,69,0,0,0,0,20191203
201911,9호선2~3단계,둔촌오륜,1,0,192,98,627,998,2684,4663,3638,2316,2362,1115,1731,1037,1355,1014,1343,950,1797,1135,1702,1164,2628,1303,4995,1583,2646,1923,2286,2981,1075,2377,608,1582,605,1381,812,1398,258,981,55,244,0,0,0,0,0,0,20191203
201911,9호선2~3단계,봉은사,17,1,1635,1364,5380,10899,10106,35428,11116,100592,11062,78014,11217,46890,16728,39613,22837,35673,27867,38842,33063,32924,39678,29096,49052,26765,71221,29311,105216,31868,56880,21059,40533,10742,37810,9203,29177,7853,8673,4632,1287,1215,0,35,0,0,0,0,20191203
