from,to,line,in_7,out_7,in_8,out_8,in_17,out_17,in_18,out_18,in_19,out_19,in_20,out_20
신용산,이촌(국립중앙박물관),4,25428,20731,34767,39755,46872,33505,45460,43774,22239,32396,20731,18559
이촌(국립중앙박물관),동작(현충원),4,11244,6071,15561,12656,12262,10524,13234,14349,7093,11131,7431,7592
동작(현충원),총신대입구(이수),4,54564,20915,75615,47807,41738,65181,51815,95053,32195,69477,28272,39268
총신대입구(이수),사당,4,163972,91750,222693,134067,145171,198002,174289,297042,129745,229942,119515,137225
사당,남태령,4,3482,4506,5265,6134,4978,2096,4965,2442,2111,2325,1113,1541
남태령,선바위,4,24193,24501,30741,28959,27863,16035,38492,21841,19353,17756,11528,13260
선바위,경마공원,4,2267,6393,3423,17920,38790,3028,75645,2805,10887,2017,2738,1474
경마공원,대공원,4,1093,9417,1375,35794,29934,5453,26593,4084,10704,2778,7386,1330
대공원,과천,4,21261,4575,21741,9404,16402,10493,8860,15739,4596,14709,2906,9503
과천,정부과천청사,4,20306,26761,19723,76756,36744,19789,58575,30164,17595,23898,15034,12214
정부과천청사,인덕원,4,93685,32469,88248,113860,55379,56919,90722,88982,38116,83633,29062,46517
인덕원,평촌,4,68581,31346,59202,84880,40431,34206,64936,53301,30281,53126,23045,29867
평촌,범계,4,105894,26612,97379,69339,60158,75193,74671,107149,46952,98185,47706,52440
범계,금정,4,96848,43991,99912,89127,58922,67553,78886,96889,37981,83914,30380,52850
금정,산본,4,68343,16523,64528,35392,34327,49711,38244,72946,27543,68520,21066,40295
산본,수리산,4,22594,4160,21429,6994,5737,8470,6312,12821,3421,11910,2333,7882
수리산,대야미,4,19351,5419,21471,9219,10422,11184,11930,15332,6421,13259,4888,9833
대야미,반월,4,18724,4820,20243,8970,10115,11885,10245,16613,5710,13413,3740,10847
반월,상록수,4,91498,19122,88567,33356,39785,51754,35734,80521,23087,78127,18519,49541
상록수,한대앞,4,33051,8668,29359,22369,21230,22030,20788,32393,11674,28410,9485,19229
한대앞,중앙,4,56098,17915,48466,40038,41293,47869,42573,68585,28049,62443,26884,38817
중앙,고잔,4,32989,12956,25120,29469,23002,19070,24552,25201,11619,22454,8648,15139
고잔,초지,4,18918,10461,15980,15824,12871,10515,12951,14004,6085,13818,4295,9024
초지,안산,4,29012,44046,30924,38250,49428,30604,54122,37093,29340,30918,24679,21748
안산,신길온천,4,8426,4034,7508,2719,3889,4187,4100,5952,2000,4830,1406,3705
신길온천,정왕,4,19801,25807,18107,34580,30610,16921,33905,23080,18745,18671,13548,14991
정왕,오이도,4,45015,16039,39085,19135,25873,26998,24595,35494,15946,31140,10697,22498
방화,개화산,5,24389,7230,22182,19161,13113,12133,17222,17071,7784,16900,4903,10361
개화산,김포공항,5,27136,63092,39285,69762,78522,69407,103055,73088,70730,46288,60308,21639
김포공항,송정,5,26598,9229,27953,16933,17539,17622,19024,23349,11143,21706,8259,14655
송정,마곡,5,25603,9400,25513,27758,20366,11740,22903,18122,10092,16661,6754,9472
마곡,발산,5,32178,31455,32941,101815,65872,35681,82353,53184,42657,43840,32970,22656
발산,우장산,5,66189,21085,70062,28981,27302,37087,24144,58261,14008,54292,10460,31983
우장산,화곡,5,131990,15573,169927,33141,43198,73958,46089,126503,28298,114275,20347,68592
화곡,까치산,5,148476,13453,175569,24335,38616,77186,38649,128273,24532,120045,18778,74886
까치산,신정(은행정),5,69188,9817,87708,15165,16676,26242,18683,43138,9922,36617,6730,23848
신정(은행정),목동,5,70013,18803,88225,33828,32496,54554,38311,92678,20707,74232,16690,42292
목동,오목교(목동운동장앞),5,56714,26363,68644,82982,55844,63574,85071,93621,46902,67940,46620,37705
오목교(목동운동장앞),양평,5,34920,13115,36328,47591,23050,21647,39956,30551,15383,24046,9664,17140
양평,영등포구청,5,55387,39642,67638,151238,64383,47228,127930,73476,49996,53724,35826,31943
영등포구청,영등포시장,5,19239,13879,28490,40177,31469,19286,41672,29552,19522,19536,14094,11824
영등포시장,신길,5,38272,24318,56514,51210,28325,29072,50338,41631,20306,30468,13800,21414
신길,여의도,5,21355,246417,29358,401281,223752,65637,333852,84043,137622,49052,106182,25613
여의도,여의나루,5,5900,30764,10379,64865,53859,55860,75420,55933,51979,42623,49853,20760
여의나루,마포,5,27946,22360,42150,77382,34181,29894,66269,52738,27093,34377,24354,18430
마포,공덕,5,57816,76236,83563,240009,109679,76972,200920,120230,84530,78782,64670,46085
공덕,애오개,5,21067,10109,30371,33139,15196,15378,26262,24741,9783,17198,7335,10722
애오개,충정로(경기대입구),5,24345,26072,35275,110514,42502,26597,90209,36096,30320,27226,20067,17524
충정로(경기대입구),서대문,5,18791,55490,25924,167868,65516,24404,125266,32197,39174,20693,27989,13240
서대문,광화문(세종문화회관),5,10960,85174,17359,315457,143321,55376,262842,67445,113891,36785,83849,16084
광화문(세종문화회관),종로3가,5,13691,61437,22056,185606,201165,112660,266933,124358,183998,74619,130293,35386
종로3가,을지로4가,5,5436,46317,9867,128496,75955,26303,117646,23915,57831,14914,31427,9067
을지로4가,동대문역사문화공원,5,20577,69764,33631,190741,142582,80547,202205,94219,122924,111993,92796,71107
동대문역사문화공원,청구,5,15792,11494,25658,44659,17159,16396,28820,21810,19693,16924,11955,10782
청구,신금호,5,24389,11043,34136,13779,11029,17253,11444,28172,7981,20737,5793,12885
신금호,행당,5,37202,5733,53751,10473,11616,20818,11876,34457,7183,26323,5712,16323
행당,왕십리(성동구청),5,68648,34454,117540,83485,97572,103221,108727,164778,75098,123470,70654,73598
왕십리(성동구청),마장,5,17744,8674,24007,19601,13928,13754,15026,20277,9364,15360,7362,9137
마장,답십리,5,61454,13909,86807,41227,28812,36484,39004,59934,22097,48477,13919,28552
답십리,장한평,5,54046,23724,74609,73074,42650,38351,69225,62030,36214,51583,17995,30563
장한평,군자(능동),5,76132,18859,117770,53408,49577,59834,63507,94986,41791,79147,31740,45807
군자(능동),아차산(어린이대공원후문),5,49116,14440,71097,30195,32264,39034,32749,55980,20125,46678,13805,28015
아차산(어린이대공원후문),광나루(장신대),5,45265,17167,56704,41066,33313,30498,38797,44562,19356,35401,14594,22071
광나루(장신대),천호(풍납토성),5,84337,41961,114058,74516,88170,107838,104901,154881,71981,124712,63745,69014
천호(풍납토성),강동,5,72522,28861,90610,44170,47331,42758,50742,60866,29029,52459,19791,33753
강동,길동,5,25964,6285,30901,16330,14947,18825,16418,29128,8757,27592,7173,14099
길동,굽은다리(강동구민회관앞),5,42402,7015,45081,14756,15787,23097,17133,35980,9584,35298,8062,18754
굽은다리(강동구민회관앞),명일,5,42908,6139,39368,14178,14972,24521,13134,37491,7160,37777,5613,18559
명일,고덕,5,38302,16426,33262,18748,21237,23265,17135,31799,9471,34394,7726,18078
고덕,상일동,5,86544,14782,66283,19845,35387,28418,24075,39101,9972,48895,6254,26607
강동,둔촌동,5,28176,11157,32142,23031,20044,24681,23102,33306,13208,26318,9314,15479
둔촌동,올림픽공원(한국체대),5,28256,14273,31423,31776,35480,28020,36321,31776,21185,27838,19744,17124
올림픽공원(한국체대),방이,5,22020,9791,21348,25893,15634,19772,22397,24319,12167,22182,9670,11377
방이,오금,5,41999,15694,47885,38264,21445,21592,30401,32867,12211,28244,8341,18206
오금,개롱,5,32394,8673,27068,18278,14146,17520,15638,25362,7544,23552,5691,14384
개롱,거여,5,39060,7876,34670,17795,16166,18522,15621,24836,7214,26069,5375,14857
거여,마천,5,26589,4558,24521,10757,10339,15263,9651,17301,4128,18327,2947,10810
응암,역촌,6,18261,3419,19477,9401,6915,12496,6979,18251,4049,16707,2785,9708
역촌,불광,6,74941,17205,88384,48051,51925,63347,54595,91033,31902,76830,24531,45216
