"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"201910","2호선","합정","145","4","10662","4274","20022","23917","48457","39024","63072","108610","44132","86468","35509","55181","37613","52957","42781","58597","48410","64998","49464","62572","55466","60566","65826","68004","84970","85663","126828","124763","85861","98919","68430","53664","79167","43618","77073","38452","40176","27127","6608","9617","2","257","0","0","0","0","20191103"
"201910","2호선","홍대입구","1564","38","36291","4917","37683","23442","76205","43419","101048","124361","84294","156145","80023","120192","85752","132494","96018","161447","109425","182239","119334","181102","141341","179915","168470","190859","196206","226147","233452","292828","189027","244036","182212","144964","214800","118676","232716","99973","130628","73015","16977","25432","9","2764","0","0","0","0","20191103"
"201910","3호선","가락시장","17","1","3069","629","8031","5442","24958","10955","28476","33588","20845","16576","17662","12302","17535","13358","16949","13473","17150","14492","16819","15419","17188","18201","19532","19853","21346","23277","33720","30258","14876","25127","12198","15733","11271","14153","8508","13379","3499","8194","437","2573","2","75","0","0","0","0","20191103"
"201910","3호선","경복궁(정부서울청사)","378","4","6229","1680","7757","15771","17227","47101","25344","142350","26292","104218","23924","84250","31399","80048","40562","76779","56816","82685","73200","66054","90989","54231","108236","45925","125270","45916","153247","52029","69919","37308","54177","19568","55007","15548","38157","14713","13697","8431","1992","2465","2","53","0","1","0","0","20191103"
"201910","3호선","경찰병원","12","2","2674","310","7776","3198","25716","7915","31105","33799","18775","16626","14277","10589","13244","8093","11584","9427","12467","11159","12151","10788","11895","11318","13021","12388","16778","15925","24329","23045","9090","21366","6695","12933","6083","11691","4213","11536","1541","7585","201","2099","1","1","0","0","0","0","20191103"
"201910","3호선","고속터미널","171","1","7363","4734","8442","40234","30522","62218","56377","94968","65465","115076","70856","107408","84456","127779","102892","122889","116853","123842","126605","131800","139969","138566","154160","142017","175935","149357","173189","162901","156750","110689","181101","67650","125316","50505","82682","37992","33858","20155","3277","3126","1","9","0","0","0","0","20191103"
"201910","3호선","교대(법원.검찰청)","22","1","1504","627","3476","7006","9344","25565","15007","54995","12360","39129","14118","20942","18379","14092","20965","13809","25775","14590","28589","13980","30433","14244","33054","16196","47261","26835","78440","30430","45269","16244","46858","7944","46117","5888","38867","5153","11669","3292","1680","1135","0","1","0","0","0","0","20191103"
"201910","3호선","구파발","174","12","11266","1830","33563","10798","101382","26295","100216","36065","53830","35224","38472","31488","34614","27186","36221","29227","35329","31693","34133","31682","36782","33626","44464","40998","46966","48004","40781","77114","26400","72194","20340","42804","16976","40284","14317","36367","4979","27145","785","8763","1","399","0","0","0","0","20191103"
"201910","3호선","금호","50","4","5239","662","11279","3110","31189","4904","43702","9499","28756","7751","18677","7330","15799","7609","14833","9539","14721","10885","12682","12658","12069","15394","12512","18609","13757","23157","13928","33673","9075","26438","6988","18946","5408","16935","4107","15993","1920","9887","396","2701","0","0","0","0","0","0","20191103"
"201910","3호선","남부터미널(예술의전당)","81","0","3395","1447","9643","30099","32116","60738","53381","177021","47466","94297","47393","58334","52683","47593","54776","50063","56669","57131","55907","59753","61142","60383","72635","66616","100133","73865","157993","88321","81004","64176","66037","35994","57977","28538","47310","23085","17965","12906","1844","3422","1","3","0","0","0","0","20191103"
